loan_amnt,loan_status,,,,,
5000,Fully Paid,,,,,
2500,Charged Off,,,,Row Labels,Count of loan_status
2400,Fully Paid,,,,0-9999,49.59%
10000,Fully Paid,,,,Charged Off,13.17%
3000,Current,,,,Current,1.17%
5000,Fully Paid,,,,Fully Paid,85.66%
7000,Fully Paid,,,,10000-19999,34.71%
3000,Fully Paid,,,,Charged Off,14.10%
5600,Charged Off,,,,Current,3.48%
5375,Charged Off,,,,Fully Paid,82.43%
6500,Fully Paid,,,,20000-29999,12.67%
12000,Fully Paid,,,,Charged Off,16.71%
9000,Charged Off,,,,Current,5.92%
3000,Fully Paid,,,,Fully Paid,77.37%
10000,Charged Off,,,,30000-39999,3.03%
1000,Fully Paid,,,,Charged Off,20.66%
10000,Fully Paid,,,,Current,11.04%
3600,Fully Paid,,,,Fully Paid,68.30%
6000,Fully Paid,,,,Grand Total,100.00%
9200,Fully Paid,,,,,
20250,Fully Paid,,,,,
21000,Charged Off,,,,,
10000,Fully Paid,,,,,
10000,Fully Paid,,,,,
6000,Charged Off,,,,,
15000,Fully Paid,,,,,
15000,Charged Off,,,,,
5000,Charged Off,,,,,
4000,Fully Paid,,,,,
8500,Fully Paid,,,,,
4375,Fully Paid,,,,,
31825,Fully Paid,,,,,
10000,Current,,,,,
5000,Fully Paid,,,,,
7000,Fully Paid,,,,,
12400,Fully Paid,,,,,
10800,Fully Paid,,,,,
15000,Fully Paid,,,,,
6000,Fully Paid,,,,,
12500,Current,,,,,
9600,Fully Paid,,,,,
12000,Fully Paid,,,,,
3000,Fully Paid,,,,,
4400,Fully Paid,,,,,
6000,Fully Paid,,,,,
14000,Fully Paid,,,,,
5000,Charged Off,,,,,
10000,Fully Paid,,,,,
10000,Fully Paid,,,,,
11000,Fully Paid,,,,,
15000,Charged Off,,,,,
25600,Fully Paid,,,,,
7000,Fully Paid,,,,,
12000,Charged Off,,,,,
12000,Fully Paid,,,,,
21000,Charged Off,,,,,
16000,Fully Paid,,,,,
10000,Fully Paid,,,,,
10000,Fully Paid,,,,,
7100,Fully Paid,,,,,
13000,Fully Paid,,,,,
17500,Fully Paid,,,,,
17675,Fully Paid,,,,,
8000,Fully Paid,,,,,
10000,Charged Off,,,,,
3500,Fully Paid,,,,,
12500,Charged Off,,,,,
16425,Fully Paid,,,,,
8200,Charged Off,,,,,
15000,Fully Paid,,,,,
20975,Fully Paid,,,,,
6400,Charged Off,,,,,
3000,Fully Paid,,,,,
12000,Fully Paid,,,,,
14400,Fully Paid,,,,,
12000,Fully Paid,,,,,
11000,Fully Paid,,,,,
7250,Fully Paid,,,,,
15000,Fully Paid,,,,,
18000,Fully Paid,,,,,
35000,Fully Paid,,,,,
10000,Fully Paid,,,,,
11800,Fully Paid,,,,,
4500,Fully Paid,,,,,
7000,Fully Paid,,,,,
9200,Fully Paid,,,,,
14000,Current,,,,,
4500,Fully Paid,,,,,
12000,Fully Paid,,,,,
12000,Fully Paid,,,,,
12000,Fully Paid,,,,,
7000,Fully Paid,,,,,
8200,Fully Paid,,,,,
10500,Fully Paid,,,,,
7000,Fully Paid,,,,,
15300,Current,,,,,
20000,Fully Paid,,,,,
17500,Charged Off,,,,,
3500,Fully Paid,,,,,
6000,Current,,,,,
6200,Charged Off,,,,,
16000,Current,,,,,
6000,Fully Paid,,,,,
7200,Fully Paid,,,,,
9500,Fully Paid,,,,,
18825,Charged Off,,,,,
24000,Fully Paid,,,,,
6000,Fully Paid,,,,,
6000,Fully Paid,,,,,
2100,Fully Paid,,,,,
5500,Fully Paid,,,,,
11000,Fully Paid,,,,,
26800,Fully Paid,,,,,
8000,Fully Paid,,,,,
10000,Charged Off,,,,,
8000,Fully Paid,,,,,
10000,Fully Paid,,,,,
12000,Fully Paid,,,,,
10000,Fully Paid,,,,,
12000,Fully Paid,,,,,
25000,Charged Off,,,,,
19750,Charged Off,,,,,
10000,Fully Paid,,,,,
13650,Fully Paid,,,,,
28000,Charged Off,,,,,
18000,Fully Paid,,,,,
2500,Fully Paid,,,,,
21000,Fully Paid,,,,,
35000,Fully Paid,,,,,
10000,Fully Paid,,,,,
7000,Fully Paid,,,,,
24000,Charged Off,,,,,
10625,Fully Paid,,,,,
5000,Fully Paid,,,,,
8850,Fully Paid,,,,,
6375,Fully Paid,,,,,
6000,Fully Paid,,,,,
11100,Charged Off,,,,,
10000,Fully Paid,,,,,
6200,Fully Paid,,,,,
15000,Fully Paid,,,,,
4200,Fully Paid,,,,,
14000,Fully Paid,,,,,
8875,Fully Paid,,,,,
13500,Fully Paid,,,,,
12000,Charged Off,,,,,
16000,Fully Paid,,,,,
21600,Fully Paid,,,,,
6000,Fully Paid,,,,,
8450,Fully Paid,,,,,
20000,Fully Paid,,,,,
